,fuel_per_knot,fuel_per_torque,fuel_per_revolution,propeller_imbalance,compressor_temp_ratio,turbine_temp_ratio,compressor_pressure_ratio,expansion_ratio,torque_per_rpm,power_per_knot,tic_efficiency,time
0,0.027333333333333334,0.00028279372611772496,6.076374094194173e-05,0.0,1.9116770833333332,0.8427845677969642,5.958917835671342,0.18429460232049774,0.21486948022547794,130434.40946533333,87.03658536585365,11934
1,0.04783333333333333,4.123456577272426e-05,0.00020855042196944262,0.0,2.0196458333333336,1.0923962190840664,7.296593186372745,0.18277945619335348,5.0576601950636775,1596393.8449799998,37.12543554006969,11933
2,0.028777777777777777,3.090976508697877e-05,0.00018676667938218448,0.0,2.040232638888889,1.0313400398579273,7.589178356713426,0.18339054660681278,6.042319598891514,1291106.0522614445,50.52509652509652,11932
3,0.029833333333333333,2.431339284228656e-05,0.0002313461047584275,0.0,2.1314270833333335,1.0775758286620043,9.025050100200401,0.18407904962806707,9.515171587079514,1898790.4923895833,50.58379888268157,11931
4,0.034800000000000005,2.4125974190199196e-05,0.00027126564129640034,0.0,2.2418125,1.1329715229182735,11.21943887775551,0.1855854246673216,11.24371762805739,2775684.4914144003,50.52298850574713,11930
5,0.03933333333333333,2.3764185968718342e-05,0.000306838334335903,0.0,2.3486006944444444,1.1833789919233821,13.382765531062125,0.187256663671758,12.911796547115285,3819103.7044624444,50.50847457627118,11929
6,0.04323809523809524,2.329269425157854e-05,0.0003390481112257038,0.0,2.4303958333333333,1.221147389685608,15.710420841683367,0.1889788889597551,14.555985132665644,4971315.738451429,50.52973568281938,11928
7,0.0515,2.4236811056880266e-05,0.00040031597756287244,0.0,2.5755902777777777,1.28358116397266,18.669338677354713,0.19192786603692572,16.516858452351222,6560656.479387,50.51779935275081,11927
8,0.06785185185185186,2.517751764766013e-05,0.0005145496496877453,0.0,2.7399097222222224,1.414022917421752,22.85671342685371,0.19718556836613915,20.43686978551537,9595044.176109444,50.521834061135365,11926
9,0.026333333333333334,0.00020796040855006846,5.828645208890528e-05,0.0,1.9131423611111111,0.8421590424421718,5.974949899799599,0.18447090390742915,0.28027667619662455,171626.61833333332,49.10126582278481,11925
